obj_id  ref_name         valuet                                                        valuei       timestamp          
------  ---------------  ------------------------------------------------------------  -----------  -------------------
322     price                                                                          18284553     2026-02-05 00:26:21

322     stock                                                                          12           2026-02-05 00:26:21

322     stock_available                                                                17           2026-02-05 00:11:43

322     stock_sold                                                                     16           2026-02-05 00:11:43

323     EAN              9006403065661                                                              2026-02-05 00:11:43

323     cat_id                                                                         74020        2026-02-05 00:11:43

323     item_no                                                                        3599         2026-02-05 00:26:21

323     name             ZOTTER - Zestaw 10 ciemych Czekoladek                                      2026-02-05 00:11:43

323     name             Zestaw 10 Różnych Czekoladek Ciemnych VEGE                                 2026-02-05 00:26:21

323     offer_id                                                                       18159238631  2026-02-05 00:11:43

323     price                                                                          27642276     2026-02-05 00:26:21

323     stock                                                                          4            2026-02-05 00:26:21

323     stock_available                                                                16           2026-02-05 00:11:43

323     stock_sold                                                                     4            2026-02-05 00:11:43

324     EAN              9006403053866                                                              2026-02-05 00:11:43

324     cat_id                                                                         74020        2026-02-05 00:11:43

324     item_no                                                                        3196         2026-02-05 00:26:21

324     name             ZOTTER - Czekolada Kakao z Ugandy 70%                                      2026-02-05 00:11:43

324     name             Czekolada z Ugandy - 70% Kakao                                             2026-02-05 00:26:21

324     offer_id                                                                       18158680017  2026-02-05 00:11:43

324     price                                                                          18284553     2026-02-05 00:26:21

324     stock                                                                          6            2026-02-05 00:26:21

324     stock_available                                                                21           2026-02-05 00:11:43

324     stock_sold                                                                     3            2026-02-05 00:11:43

368     EAN              9006403028369                                                              2026-02-05 00:11:43

368     cat_id                                                                         74020        2026-02-05 00:11:43

368     item_no                                                                        4235         2026-02-05 00:26:21

368     name             Zotter Nicaragua 50% czekolada mleczna                                     2026-02-05 00:11:43

368     name             Czekolada Mleczna z Nikaragui 50% Kakao                                    2026-02-05 00:26:21

368     offer_id                                                                       18143331661  2026-02-05 00:11:43

368     price                                                                          18284553     2026-02-05 00:26:21

368     stock                                                                          6            2026-02-05 00:26:21

368     stock_available                                                                10           2026-02-05 00:11:43

368     stock_sold                                                                     6            2026-02-05 00:11:43

442     EAN              9006403039273                                                              2026-02-05 00:11:43

442     cat_id                                                                         74020        2026-02-05 00:11:43

442     item_no                                                                        1650         2026-02-05 00:26:21

442     name             Zotter Czekolada Sojowa 40% VEGAN                                          2026-02-05 00:11:43

442     name             Czekolada Sojowa 40% Kakao VEGAN BIO                                       2026-02-05 00:26:21

442     offer_id                                                                       18104860712  2026-02-05 00:11:43

442     price                                                                          18284553     2026-02-05 00:26:21

442     stock                                                                          13           2026-02-05 00:26:21

442     stock_available                                                                7            2026-02-05 00:11:43

442     stock_sold                                                                     1            2026-02-05 00:11:43

726     EAN              9006403027591                                                              2026-02-05 00:11:43

726     cat_id                                                                         74020        2026-02-05 00:11:43

726     item_no                                                                        4301         2026-02-05 00:26:21

726     name             ZOTTER, Czekolada Mleczna 70% kakao, bez cukru BIO                         2026-02-05 00:11:43

726     name             Czekolada Mleczna 70% kakao, bez cukru BIO                                 2026-02-05 00:26:21

726     offer_id                                                                       17951316950  2026-02-05 00:11:43

726     price                                                                          18284553     2026-02-05 00:26:21

726     stock                                                                          13           2026-02-05 00:26:21

726     stock_available                                                                2            2026-02-05 00:11:43

726     stock_sold                                                                     11           2026-02-05 00:11:43

750     EAN              9006403023586                                                              2026-02-05 00:11:43

750     cat_id                                                                         74020        2026-02-05 00:11:43

750     item_no                                                                        2243         2026-02-05 00:26:21

750     name             ZOTTER - Czekolada Panama Kakao 72%                                        2026-02-05 00:11:43

750     name             Czekolada Ciemna z Panamy 72% Kakao                                        2026-02-05 00:26:21

750     offer_id                                                                       17906570998  2026-02-05 00:11:43

750     price                                                                          18284553     2026-02-05 00:26:21

750     stock                                                                          5            2026-02-05 00:26:21

750     stock_available                                                                3            2026-02-05 00:11:43

750     stock_sold                                                                     3            2026-02-05 00:11:43

786     EAN              9006403024125                                                              2026-02-05 00:11:43

786     cat_id                                                                         74020        2026-02-05 00:11:43

786     item_no                                                                        2731         2026-02-05 00:26:21

786     name             Zotter Czekolada Thank You- tabliczka kawowa i 1 mleczna                   2026-02-05 00:11:43

786     name             Czekolada Karmelowa i Kawowa DZIĘKUJĘ!                                     2026-02-05 00:26:21

786     offer_id                                                                       17852499526  2026-02-05 00:11:43

786     price                                                                          18284553     2026-02-05 00:26:21

786     stock                                                                          8            2026-02-05 00:26:21

786     stock_available                                                                6            2026-02-05 00:11:43

786     stock_sold                                                                     1            2026-02-05 00:11:43

787     EAN              9006403023982                                                              2026-02-05 00:11:43

787     cat_id                                                                         74020        2026-02-05 00:11:43

